Upregulated
Ensembl_g_id	Ensembl_t_id	Ensembl_p_id	Gene_symbol	Symbol	Description	Fold	PPEE	case control expected_counts	
ENSRNOG00000017933	ENSRNOT00000024110	ENSRNOP00000024110	CCDC3	Ccdc3	coiled-coil domain containing 3 [Source:RGD Symbol;Acc:1559473]	1.747082068	0.977386179	27	15
ENSRNOG00000009771	ENSRNOT00000013152	ENSRNOP00000013152	CDH10	Cdh10	cadherin 10 [Source:RGD Symbol;Acc:619741]	1.205692471	0.97750732	1145	922
ENSRNOG00000052707	ENSRNOT00000083448	ENSRNOP00000070304	CACNA1A	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit [Source:RGD Symbol;Acc:2244]	1.228563196	0.977630338	11304	8933
ENSRNOG00000009565	ENSRNOT00000012760	ENSRNOP00000012759	PDK4	Pdk4	pyruvate dehydrogenase kinase, isozyme 4 [Source:RGD Symbol;Acc:69061]	1.317582493	0.977644318	133	98
ENSRNOG00000003367	ENSRNOT00000004516	ENSRNOP00000004516	TMEM220	Tmem220	transmembrane protein 220 [Source:RGD Symbol;Acc:1309576]	4.816761266	0.977727045	5	1
ENSRNOG00000003683	ENSRNOT00000004946	ENSRNOP00000004946	GLP2R	Glp2r	glucagon-like peptide 2 receptor [Source:RGD Symbol;Acc:620270]	4.816761266	0.977727045	5	1
ENSRNOG00000005465	ENSRNOT00000007393	ENSRNOP00000007393	KCNMB1	Kcnmb1	potassium channel subfamily M regulatory beta subunit 1 [Source:RGD Symbol;Acc:2961]	4.816761266	0.977727045	5	1
ENSRNOG00000009572	ENSRNOT00000013257	ENSRNOP00000013257	HGFAC	Hgfac	HGF activator [Source:RGD Symbol;Acc:70909]	4.816761266	0.977727045	5	1
ENSRNOG00000011688	ENSRNOT00000015623	ENSRNOP00000015623	NEIL3	Neil3	nei endonuclease VIII-like 3 (E. coli) [Source:RGD Symbol;Acc:1310562]	4.816761266	0.977727045	5	1
ENSRNOG00000013684	ENSRNOT00000077662	ENSRNOP00000073061	F11	F11	coagulation factor XI [Source:RGD Symbol;Acc:1309364]	4.816761266	0.977727045	5	1
ENSRNOG00000014951	ENSRNOT00000020117	ENSRNOP00000020117	MESP1	Mesp1	mesoderm posterior basic helix-loop-helix transcription factor 1 [Source:RGD Symbol;Acc:1311751]	4.816761266	0.977727045	5	1
ENSRNOG00000016173	ENSRNOT00000021653	ENSRNOP00000021653	CYP1A2	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2 [Source:RGD Symbol;Acc:2459]	4.816761266	0.977727045	5	1
ENSRNOG00000022751	ENSRNOT00000031509	ENSRNOP00000038393	LOC500445	LOC500445	similar to hypothetical protein 4931430D02 [Source:RGD Symbol;Acc:1561387]	4.816761266	0.977727045	5	1
ENSRNOG00000023531	ENSRNOT00000030132	ENSRNOP00000030893	CLDN20	Cldn20	claudin 20 [Source:RGD Symbol;Acc:1595446]	4.816761266	0.977727045	5	1
ENSRNOG00000024815	ENSRNOT00000034209	ENSRNOP00000037730	LKAAEAR1	Lkaaear1	LKAAEAR motif containing 1 [Source:RGD Symbol;Acc:1306208]	4.816761266	0.977727045	5	1
ENSRNOG00000027916	ENSRNOT00000065073	ENSRNOP00000062071	TXNDC2	Txndc2	thioredoxin domain containing 2 (spermatozoa) [Source:RGD Symbol;Acc:1359251]	4.816761266	0.977727045	5	1
ENSRNOG00000029993	ENSRNOT00000043533	ENSRNOP00000050947	KYNU	Kynu	kynureninase [Source:RGD Symbol;Acc:71061]	4.816761266	0.977727045	5	1
ENSRNOG00000036692	ENSRNOT00000083601	ENSRNOP00000074929	GCGR	Gcgr	glucagon receptor [Source:RGD Symbol;Acc:2669]	4.816761266	0.977727045	5	1
ENSRNOG00000046421	ENSRNOT00000073540	ENSRNOP00000064553	LOC102546814	LOC102546814	uncharacterized LOC102546814 [Source:RGD Symbol;Acc:7654467]	4.816761266	0.977727045	5	1
ENSRNOG00000052420	ENSRNOT00000087848	ENSRNOP00000073766	AABR07034980.1	AABR07034980.1	-	4.816761266	0.977727045	5	1
ENSRNOG00000053656	ENSRNOT00000080873	ENSRNOP00000072534	AC121471.1	AC121471.1	-	4.816761266	0.977727045	5	1
ENSRNOG00000056149	ENSRNOT00000088102	-	AABR07026002.3	AABR07026002.3	-	4.816761266	0.977727045	5	1
ENSRNOG00000056620	ENSRNOT00000089237	-	AABR07006263.1	AABR07006263.1	-	4.816761266	0.977727045	5	1
ENSRNOG00000057253	ENSRNOT00000083187	-	AABR07060560.4	AABR07060560.4	-	4.816761266	0.977727045	5	1
ENSRNOG00000060135	ENSRNOT00000087628	-	AABR07024869.2	AABR07024869.2	-	4.816761266	0.977727045	5	1
ENSRNOG00000061423	ENSRNOT00000077263	-	AABR07019091.1	AABR07019091.1	-	4.816761266	0.977727045	5	1
ENSRNOG00000003936	ENSRNOT00000067013	ENSRNOP00000060940	PWWP2A	Pwwp2a	PWWP domain containing 2A [Source:RGD Symbol;Acc:1305891]	1.206496224	0.977746854	978	787
ENSRNOG00000009971	ENSRNOT00000013528	ENSRNOP00000013528	PLEKHA8	Plekha8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8 [Source:RGD Symbol;Acc:1563940]	1.214578606	0.977761975	613	490
ENSRNOG00000028743	ENSRNOT00000039842	ENSRNOP00000038231	GAL3ST3	Gal3st3	galactose-3-O-sulfotransferase 3 [Source:RGD Symbol;Acc:1564991]	1.210383798	0.977793848	3679	2951
ENSRNOG00000014628	ENSRNOT00000019630	ENSRNOP00000019630	POMK	Pomk	protein-O-mannose kinase [Source:RGD Symbol;Acc:1310810]	1.204768595	0.977843807	1195	963
ENSRNOG00000021330	ENSRNOT00000083572	ENSRNOP00000075544	SPRTN	Sprtn	SprT-like N-terminal domain [Source:RGD Symbol;Acc:1559496]	1.248255024	0.977849017	279	217
ENSRNOG00000048470	ENSRNOT00000073155	ENSRNOP00000066877	POMP	Pomp	proteasome maturation protein [Source:RGD Symbol;Acc:1305831]	1.357780498	0.977855726	99.41	71.08
ENSRNOG00000014548	ENSRNOT00000090794	ENSRNOP00000074425	NEDD9	Nedd9	neural precursor cell expressed, developmentally down-regulated 9 [Source:RGD Symbol;Acc:1306276]	1.207878199	0.977925748	846	680
ENSRNOG00000053037	ENSRNOT00000091175	ENSRNOP00000070140	AABR07024139.1	AABR07024139.1	-	1.276732249	0.977947276	191.84	145.88
ENSRNOG00000005178	ENSRNOT00000006885	ENSRNOP00000006885	LOC689081	LOC689081	similar to cystatin E2 [Source:RGD Symbol;Acc:1597405]	3.386301787	0.977957145	7	2
ENSRNOG00000011875	ENSRNOT00000091221	ENSRNOP00000071871	SLC2A2	Slc2a2	solute carrier family 2 (facilitated glucose transporter), member 2 [Source:RGD Symbol;Acc:3705]	3.386301787	0.977957145	7	2
ENSRNOG00000018054	ENSRNOT00000024292	ENSRNOP00000024292	F2RL2	F2rl2	coagulation factor II (thrombin) receptor-like 2 [Source:RGD Symbol;Acc:620871]	3.386301787	0.977957145	7	2
ENSRNOG00000025247	ENSRNOT00000034771	ENSRNOP00000035800	LOC100911631	LOC100911631	coiled-coil domain-containing protein 87-like [Source:RGD Symbol;Acc:6491559]	3.386301787	0.977957145	7	2
ENSRNOG00000031391	ENSRNOT00000045306	ENSRNOP00000041331	CEACAM16	Ceacam16	carcinoembryonic antigen-related cell adhesion molecule 16 [Source:RGD Symbol;Acc:1306386]	3.386301787	0.977957145	7	2
ENSRNOG00000031595	ENSRNOT00000051732	ENSRNOP00000046185	STMND1	Stmnd1	stathmin domain containing 1 [Source:RGD Symbol;Acc:1564013]	3.386301787	0.977957145	7	2
ENSRNOG00000053542	ENSRNOT00000092197	-	AABR07067469.2	AABR07067469.2	-	3.386301787	0.977957145	7	2
ENSRNOG00000054841	ENSRNOT00000087032	-	AABR07035008.2	AABR07035008.2	-	3.386301787	0.977957145	7	2
ENSRNOG00000025014	ENSRNOT00000030686	ENSRNOP00000030437	RGD1563956	RGD1563956	similar to 60S ribosomal protein L12 [Source:RGD Symbol;Acc:1563956]	2.548068861	0.977998713	10.54	4.01
ENSRNOG00000000611	ENSRNOT00000000750	ENSRNOP00000000750	UBE2D1	Ube2d1	ubiquitin-conjugating enzyme E2D 1 [Source:RGD Symbol;Acc:1307886]	1.204951256	0.978059231	1081	871
ENSRNOG00000014048	ENSRNOT00000091626	ENSRNOP00000070060	CYLD	Cyld	cylindromatosis (turban tumor syndrome) [Source:RGD Symbol;Acc:1308346]	1.204103169	0.978116974	1878.61	1514.73
ENSRNOG00000026917	ENSRNOT00000036680	-	RN60_13_0841.1	Rn60_13_0841.1	-	233.5377096	0.978153317	2.36	0
ENSRNOG00000055981	ENSRNOT00000091196	ENSRNOP00000072817	AABR07001516.1	AABR07001516.1	-	233.5377096	0.978153317	2.36	0
ENSRNOG00000045911	ENSRNOT00000073353	ENSRNOP00000067286	MEPCE	Mepce	methylphosphate capping enzyme [Source:RGD Symbol;Acc:1560550]	1.297129187	0.978194833	154.65	115.75
ENSRNOG00000050186	ENSRNOT00000074093	ENSRNOP00000066706	NFE2L3	Nfe2l3	nuclear factor, erythroid 2-like 3 [Source:RGD Symbol;Acc:1307730]	232.5523804	0.978297052	2.35	0
ENSRNOG00000048553	ENSRNOT00000074345	ENSRNOP00000067455	IQCC	Iqcc	IQ motif containing C [Source:RGD Symbol;Acc:1583461]	1.791782247	0.978330778	24	13
ENSRNOG00000013218	ENSRNOT00000017652	ENSRNOP00000017652	SAP30	Sap30	Sin3A-associated protein [Source:RGD Symbol;Acc:1595501]	1.617833087	0.978356013	35	21
ENSRNOG00000020614	ENSRNOT00000027972	ENSRNOP00000027972	PHLDA2	Phlda2	pleckstrin homology-like domain, family A, member 2 [Source:RGD Symbol;Acc:1304755]	1.617833087	0.978356013	35	21
ENSRNOG00000018954	ENSRNOT00000025686	ENSRNOP00000025686	TSNAXIP1	Tsnaxip1	translin-associated factor X interacting protein 1 [Source:RGD Symbol;Acc:1565341]	1.791035987	0.978379953	23.99	13
ENSRNOG00000056033	ENSRNOT00000085199	ENSRNOP00000069667	AC111632.2	AC111632.2	-	1.204771592	0.978397068	1011.36	815.01
ENSRNOG00000042445	ENSRNOT00000035001	ENSRNOP00000032102	-	-	-	1.577432836	0.978425753	39	24
ENSRNOG00000017528	ENSRNOT00000055536	ENSRNOP00000052398	GPR157	Gpr157	G protein-coupled receptor 157 [Source:RGD Symbol;Acc:1311096]	1.434148144	0.978443015	65	44
ENSRNOG00000023837	ENSRNOT00000061761	ENSRNOP00000058474	MTX3	Mtx3	metaxin 3 [Source:RGD Symbol;Acc:1583002]	1.276374466	0.978456525	188	143
ENSRNOG00000029321	ENSRNOT00000043827	ENSRNOP00000044122	CCSER1	Ccser1	coiled-coil serine-rich protein 1 [Source:RGD Symbol;Acc:1565731]	1.276374466	0.978456525	188	143
ENSRNOG00000002506	ENSRNOT00000046771	ENSRNOP00000045371	CDKL2	Cdkl2	cyclin-dependent kinase-like 2 (CDC2-related kinase) [Source:RGD Symbol;Acc:1309625]	1.205104565	0.978516202	2485	2002
ENSRNOG00000004124	ENSRNOT00000005559	ENSRNOP00000005559	GRPR	Grpr	gastrin releasing peptide receptor [Source:RGD Symbol;Acc:2750]	1.693218164	0.97854532	29.01	16.63
ENSRNOG00000009894	ENSRNOT00000067087	ENSRNOP00000059003	CCDC132	Ccdc132	coiled-coil domain containing 132 [Source:RGD Symbol;Acc:1304751]	1.202600774	0.978664986	1565.37	1263.74
ENSRNOG00000001733	ENSRNOT00000002361	ENSRNOP00000002361	PPP1R2	Ppp1r2	protein phosphatase 1, regulatory (inhibitor) subunit 2 [Source:RGD Symbol;Acc:621099]	1.205526474	0.978742182	2728	2197
ENSRNOG00000026643	ENSRNOT00000030569	ENSRNOP00000030171	CHORDC1	Chordc1	cysteine and histidine-rich domain (CHORD)-containing 1 [Source:RGD Symbol;Acc:1304679]	1.202665574	0.978747974	1266	1022
ENSRNOG00000060348	ENSRNOT00000079521	ENSRNOP00000073720	ZDHHC23	Zdhhc23	Palmitoyltransferase ZDHHC23  [Source:UniProtKB/Swiss-Prot;Acc:Q76IC6]	1.215877013	0.978779263	531	424
ENSRNOG00000049496	ENSRNOT00000072908	ENSRNOP00000066009	TRIM62	Trim62	tripartite motif-containing 62 [Source:RGD Symbol;Acc:1586169]	1.319087818	0.978824873	125	92
ENSRNOG00000046177	ENSRNOT00000075606	ENSRNOP00000066988	FAM131A	Fam131a	family with sequence similarity 131, member A [Source:RGD Symbol;Acc:2322069]	1.219047562	0.978888276	7354.69	5857.42
ENSRNOG00000013287	ENSRNOT00000017730	ENSRNOP00000017730	SALL2	Sall2	spalt-like transcription factor 2 [Source:RGD Symbol;Acc:1309272]	1.202207561	0.978896992	1637	1322
ENSRNOG00000033893	ENSRNOT00000043626	ENSRNOP00000042239	CACNA1H	Cacna1h	calcium channel, voltage-dependent, T type, alpha 1H subunit [Source:RGD Symbol;Acc:68943]	1.215884414	0.978914545	6099	4870
ENSRNOG00000006388	ENSRNOT00000009183	ENSRNOP00000009183	PYGL	Pygl	phosphorylase, glycogen, liver [Source:RGD Symbol;Acc:620687]	1.400222894	0.978918072	75	52
ENSRNOG00000012119	ENSRNOT00000016174	-	AABR07069282.1	AABR07069282.1	-	1.657506471	0.978949296	31.01	18.16
ENSRNOG00000000257	ENSRNOT00000031977	ENSRNOP00000030458	SMPD3	Smpd3	sphingomyelin phosphodiesterase 3, neutral membrane [Source:RGD Symbol;Acc:619754]	1.207680019	0.979001505	3473	2792
ENSRNOG00000061883	ENSRNOT00000087980	ENSRNOP00000069377	AQP9	Aqp9	Aquaporin-9  [Source:UniProtKB/Swiss-Prot;Acc:P56627]	1.386894477	0.979049945	80	56
ENSRNOG00000018160	ENSRNOT00000068267	ENSRNOP00000060196	ZSWIM5	Zswim5	zinc finger, SWIM-type containing 5 [Source:RGD Symbol;Acc:1310741]	1.20398331	0.979063558	940	758
ENSRNOG00000025489	ENSRNOT00000037690	ENSRNOP00000030483	PKD2L2	Pkd2l2	polycystic kidney disease 2-like 2 [Source:RGD Symbol;Acc:1310272]	226.6404047	0.979140293	2.29	0
ENSRNOG00000003480	ENSRNOT00000074608	ENSRNOP00000065557	AIM2	Aim2	absent in melanoma 2 [Source:RGD Symbol;Acc:1307283]	1.698598907	0.979170508	28	16
ENSRNOG00000013085	ENSRNOT00000017479	ENSRNOP00000017479	NKAIN3	Nkain3	Na+/K+ transporting ATPase interacting 3 [Source:RGD Symbol;Acc:1591051]	1.698598907	0.979170508	28	16
ENSRNOG00000004819	ENSRNOT00000078392	ENSRNOP00000072781	PORCN	Porcn	porcupine homolog (Drosophila) [Source:RGD Symbol;Acc:1564947]	1.202266156	0.979198421	1964	1586
ENSRNOG00000005450	ENSRNOT00000007267	ENSRNOP00000007267	LSM11	Lsm11	LSM11, U7 small nuclear RNA associated [Source:RGD Symbol;Acc:1565523]	1.229995736	0.979211701	356	281
ENSRNOG00000006327	ENSRNOT00000008940	ENSRNOP00000008940	RCC2	Rcc2	regulator of chromosome condensation 2 [Source:RGD Symbol;Acc:1309986]	1.207964089	0.979233973	698	561
ENSRNOG00000004192	ENSRNOT00000005619	ENSRNOP00000005619	ARHGAP30	Arhgap30	Rho GTPase activating protein 30 [Source:RGD Symbol;Acc:1561419]	1.423855412	0.979234883	66	45
ENSRNOG00000009239	ENSRNOT00000012289	ENSRNOP00000012289	ENTPD8	Entpd8	ectonucleoside triphosphate diphosphohydrolase 8 [Source:RGD Symbol;Acc:1561793]	4.504521362	0.979268553	5	1.07
ENSRNOG00000048334	ENSRNOT00000073584	ENSRNOP00000066540	AABR07057961.1	AABR07057961.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0RAJ0]	225.6550754	0.979277689	2.28	0
ENSRNOG00000011980	ENSRNOT00000016073	ENSRNOP00000016073	LRRC7	Lrrc7	leucine rich repeat containing 7 [Source:RGD Symbol;Acc:708527]	1.203786853	0.97930317	2517	2030
ENSRNOG00000046246	ENSRNOT00000075130	ENSRNOP00000064724	SPON2	Spon2	spondin 2, extracellular matrix protein [Source:RGD Symbol;Acc:708584]	2.625922796	0.979393901	9.51	3.51
ENSRNOG00000055292	ENSRNOT00000087602	ENSRNOP00000070736	AABR07047262.1	AABR07047262.1	-	1.250810102	0.979412351	246.01	190.95
ENSRNOG00000049277	ENSRNOT00000028265	ENSRNOP00000028265	LOC100911963	LOC100911963	nesprin-4-like [Source:RGD Symbol;Acc:6489870]	224.6697461	0.979414202	2.27	0
ENSRNOG00000019957	ENSRNOT00000027042	ENSRNOP00000027042	LRIG2	Lrig2	leucine-rich repeats and immunoglobulin-like domains 2 [Source:RGD Symbol;Acc:1309554]	1.205708474	0.979480154	765	616
ENSRNOG00000045639	ENSRNOT00000071535	ENSRNOP00000064885	RGD1560883	RGD1560883	similar to KIAA0825 protein [Source:RGD Symbol;Acc:1560883]	1.247560619	0.979481937	257	200
ENSRNOG00000021104	ENSRNOT00000028656	ENSRNOP00000028656	EMP3	Emp3	epithelial membrane protein 3 [Source:RGD Symbol;Acc:621094]	1.634826633	0.979559728	32	19
ENSRNOG00000022143	ENSRNOT00000030449	ENSRNOP00000028912	DUSP23	Dusp23	dual specificity phosphatase 23 [Source:RGD Symbol;Acc:1309202]	1.634826633	0.979559728	32	19
ENSRNOG00000026585	ENSRNOT00000031756	ENSRNOP00000030477	LRRC66	Lrrc66	leucine rich repeat containing 66 [Source:RGD Symbol;Acc:1306094]	1.634826633	0.979559728	32	19
ENSRNOG00000002070	ENSRNOT00000002834	ENSRNOP00000002834	MRPL1	Mrpl1	mitochondrial ribosomal protein L1 [Source:RGD Symbol;Acc:1306850]	1.537413385	0.979595498	42.08	26.57
ENSRNOG00000025378	ENSRNOT00000037998	ENSRNOP00000037916	CCDC155	Ccdc155	coiled-coil domain containing 155 [Source:RGD Symbol;Acc:1561972]	1.940717665	0.979609645	18	9
ENSRNOG00000042747	ENSRNOT00000068223	ENSRNOP00000061509	FAM72A	Fam72a	family with sequence similarity 72, member A [Source:RGD Symbol;Acc:1598023]	1.940717665	0.979609645	18	9
ENSRNOG00000008912	ENSRNOT00000011952	ENSRNOP00000011950	AQR	Aqr	aquarius intron-binding spliceosomal factor [Source:RGD Symbol;Acc:1306223]	1.200907604	0.979614923	1728	1397
ENSRNOG00000036699	ENSRNOT00000054974	ENSRNOP00000051857	RGD1306926	RGD1306926	similar to hypothetical protein FLJ22175 [Source:RGD Symbol;Acc:1306926]	1.210090367	0.979631022	602.87	483.69
ENSRNOG00000021220	ENSRNOT00000028818	ENSRNOP00000028818	CPXM1	Cpxm1	carboxypeptidase X (M14 family), member 1 [Source:RGD Symbol;Acc:1306937]	1.336484492	0.979653447	106	77
ENSRNOG00000054834	ENSRNOT00000089548	-	AABR07001734.1	AABR07001734.1	-	1.588439011	0.979680873	36	22
ENSRNOG00000018063	ENSRNOT00000024557	ENSRNOP00000024557	RAD1	Rad1	RAD1 checkpoint DNA exonuclease [Source:RGD Symbol;Acc:1306496]	1.37959713	0.979694902	81	57
ENSRNOG00000003430	ENSRNOT00000004559	ENSRNOP00000004559	F9	F9	coagulation factor IX [Source:RGD Symbol;Acc:2589]	2.078925119	0.979727785	15	7
ENSRNOG00000011263	ENSRNOT00000014964	ENSRNOP00000014964	PLAC9	Plac9	placenta-specific 9 [Source:RGD Symbol;Acc:1306662]	2.078925119	0.979727785	15	7
ENSRNOG00000011478	ENSRNOT00000015265	ENSRNOP00000061118	ACKR4	Ackr4	atypical chemokine receptor 4 [Source:RGD Symbol;Acc:1596453]	2.078925119	0.979727785	15	7
ENSRNOG00000012714	ENSRNOT00000017141	ENSRNOP00000017141	RGD1564149	RGD1564149	similar to Protein C21orf58 [Source:RGD Symbol;Acc:1564149]	1.470047976	0.979778804	53	35
ENSRNOG00000019024	ENSRNOT00000032359	ENSRNOP00000032148	TRIM67	Trim67	tripartite motif-containing 67 [Source:RGD Symbol;Acc:1560667]	1.470047976	0.979778804	53	35
ENSRNOG00000024566	ENSRNOT00000045841	ENSRNOP00000051256	SH3D21	Sh3d21	SH3 domain containing 21 [Source:RGD Symbol;Acc:1305090]	1.470047976	0.979778804	53	35
ENSRNOG00000060542	ENSRNOT00000079841	ENSRNOP00000069903	MID2	Mid2	midline 2 [Source:MGI Symbol;Acc:MGI:1344333]	1.203475981	0.979868841	833	672
ENSRNOG00000019208	ENSRNOT00000026156	ENSRNOP00000026156	P2RX5	P2rx5	purinergic receptor P2X, ligand-gated ion channel, 5 [Source:RGD Symbol;Acc:620256]	1.414010094	0.979971769	67	46
ENSRNOG00000060019	ENSRNOT00000077084	-	RN60_7_1407.5	Rn60_7_1407.5	-	1.414010094	0.979971769	67	46
ENSRNOG00000060197	ENSRNOT00000088103	-	AABR07004404.1	AABR07004404.1	-	4.544099862	0.980062549	4.81	1.02
ENSRNOG00000000906	ENSRNOT00000001205	ENSRNOP00000001205	MEDAG	Medag	mesenteric estrogen-dependent adipogenesis [Source:RGD Symbol;Acc:1307396]	1.240549976	0.980105462	276	216
ENSRNOG00000057649	ENSRNOT00000083150	ENSRNOP00000071060	PSMD10	Psmd10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 [Source:RGD Symbol;Acc:620350]	1.486500684	0.980145251	49	32
ENSRNOG00000012727	ENSRNOT00000016982	ENSRNOP00000016982	TRPC7	Trpc7	transient receptor potential cation channel, subfamily C, member 7 [Source:RGD Symbol;Acc:628820]	1.443751467	0.980186672	58	39
ENSRNOG00000029862	ENSRNOT00000045384	ENSRNOP00000045819	SPC24	Spc24	SPC24, NDC80 kinetochore complex component [Source:RGD Symbol;Acc:1307631]	1.443751467	0.980186672	58	39
ENSRNOG00000001817	ENSRNOT00000002486	ENSRNOP00000002486	TM7SF3	Tm7sf3	transmembrane 7 superfamily member 3 [Source:RGD Symbol;Acc:1306752]	1.200015171	0.980214096	1105	894
ENSRNOG00000043053	ENSRNOT00000065518	ENSRNOP00000062807	ZFP639	Zfp639	zinc finger protein 639 [Source:RGD Symbol;Acc:1585689]	1.235272102	0.980261919	299	235
ENSRNOG00000009871	ENSRNOT00000013284	ENSRNOP00000013284	PIWIL2	Piwil2	piwi-like RNA-mediated gene silencing 2 [Source:RGD Symbol;Acc:1306964]	1.372551373	0.980302825	82	58
ENSRNOG00000038540	ENSRNOT00000040884	ENSRNOP00000047810	GP5	Gp5	glycoprotein V (platelet) [Source:RGD Symbol;Acc:2724]	1.426523567	0.980316216	62.23	42.35
ENSRNOG00000004049	ENSRNOT00000005687	ENSRNOP00000005687	BAIAP2	Baiap2	BAI1-associated protein 2 [Source:RGD Symbol;Acc:619814]	1.20966667	0.980355256	4777	3834
ENSRNOG00000057489	ENSRNOT00000091480	-	AABR07057586.1	AABR07057586.1	-	2.06091995	0.980447316	14.87	7
ENSRNOG00000022472	ENSRNOT00000028948	ENSRNOP00000029215	SNAP47	Snap47	synaptosomal-associated protein, 47 [Source:RGD Symbol;Acc:735194]	1.201758117	0.980510662	838	677
ENSRNOG00000010184	ENSRNOT00000013600	ENSRNOP00000013600	BRK1	Brk1	BRICK1, SCAR/WAVE actin-nucleating complex subunit [Source:RGD Symbol;Acc:1598136]	1.201584829	0.98052218	2552	2062
ENSRNOG00000016465	ENSRNOT00000065283	ENSRNOP00000061254	TRMU	Trmu	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase [Source:RGD Symbol;Acc:1311229]	1.269051799	0.980526568	183	140
ENSRNOG00000032063	ENSRNOT00000052341	ENSRNOP00000043286	GFRAL	Gfral	GDNF family receptor alpha like [Source:RGD Symbol;Acc:1565220]	1.45618582	0.980618196	54	36
ENSRNOG00000042560	ENSRNOT00000066901	ENSRNOP00000061900	BAG4	Bag4	BCL2-associated athanogene 4 [Source:RGD Symbol;Acc:1560875]	1.205225114	0.980624136	662.9	534
ENSRNOG00000019504	ENSRNOT00000026546	ENSRNOP00000026546	ADPRHL1	Adprhl1	ADP-ribosylhydrolase like 1 [Source:RGD Symbol;Acc:1305641]	1.404583638	0.980658786	68	47
ENSRNOG00000004400	ENSRNOT00000087045	ENSRNOP00000069469	AVPR1A	Avpr1a	arginine vasopressin receptor 1A [Source:RGD Symbol;Acc:2185]	1.655816344	0.980676672	29	17
ENSRNOG00000007327	ENSRNOT00000057471	ENSRNOP00000054281	PARS2	Pars2	prolyl-tRNA synthetase 2, mitochondrial (putative) [Source:RGD Symbol;Acc:1305345]	1.276639343	0.980680712	167	127
ENSRNOG00000004109	ENSRNOT00000029419	ENSRNOP00000035072	ZFPM2	Zfpm2	zinc finger protein, multitype 2 [Source:RGD Symbol;Acc:1306021]	1.201887317	0.980719781	796	643
ENSRNOG00000043289	ENSRNOT00000031481	ENSRNOP00000058056	LOC100125368	LOC100125368	zinc finger protein LOC100125368 [Source:RGD Symbol;Acc:1642422]	1.463213702	0.980820585	52	34.5
ENSRNOG00000048864	ENSRNOT00000043099	ENSRNOP00000045941	LOC100909526	LOC100909526	zinc finger protein 709-like [Source:RGD Symbol;Acc:6503429]	1.463213702	0.980820585	52	34.5
ENSRNOG00000013948	ENSRNOT00000018782	ENSRNOP00000018782	ZC3HAV1	Zc3hav1	zinc finger CCCH type, antiviral 1 [Source:RGD Symbol;Acc:628694]	1.210136353	0.98082532	526	422
ENSRNOG00000048337	ENSRNOT00000071413	-	AC126148.1	AC126148.1	-	1.248806741	0.980851751	231.84	180.24
ENSRNOG00000054362	ENSRNOT00000087249	-	AABR07066470.1	AABR07066470.1	-	1.233374855	0.98088611	296	233
ENSRNOG00000060229	ENSRNOT00000080028	ENSRNOP00000072575	ARF1	Arf1	ADP-ribosylation factor 1  [Source:UniProtKB/Swiss-Prot;Acc:P84079]	1.212109621	0.980901527	5929	4749
ENSRNOG00000018649	ENSRNOT00000025238	ENSRNOP00000025238	SLC35C2	Slc35c2	solute carrier family 35 (GDP-fucose transporter), member C2 [Source:RGD Symbol;Acc:1311250]	1.203808691	0.980978234	677	546
ENSRNOG00000019240	ENSRNOT00000026051	ENSRNOP00000026051	AMPD2	Ampd2	adenosine monophosphate deaminase 2 [Source:RGD Symbol;Acc:2110]	1.201005915	0.981034429	2672	2160
ENSRNOG00000051024	ENSRNOT00000075953	ENSRNOP00000068003	RN60_10_0890.5	Rn60_10_0890.5	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:A0A096MJ61]	1.843198007	0.981095916	19.62	10.33
ENSRNOG00000015932	ENSRNOT00000021544	ENSRNOP00000021545	PLGRKT	Plgrkt	plasminogen receptor, C-terminal lysine transmembrane protein [Source:RGD Symbol;Acc:1306839]	1.291418231	0.981110553	141	106
ENSRNOG00000015799	ENSRNOT00000090815	ENSRNOP00000072607	AC095078.1	AC095078.1	Camello-like 2, isoform CRA_a; Protein LOC100910868  [Source:UniProtKB/TrEMBL;Acc:V9GZ80]	1.347355225	0.981152205	91.68	66.06
ENSRNOG00000026528	ENSRNOT00000039067	ENSRNOP00000036146	MRPS33	Mrps33	mitochondrial ribosomal protein S33 [Source:RGD Symbol;Acc:1309217]	1.220989821	0.98123866	371	295
ENSRNOG00000010515	ENSRNOT00000013987	ENSRNOP00000013987	TRIM59	Trim59	tripartite motif-containing 59 [Source:RGD Symbol;Acc:1311956]	1.232577626	0.981265463	292	230
ENSRNOG00000002428	ENSRNOT00000003286	ENSRNOP00000003286	LPAR4	Lpar4	lysophosphatidic acid receptor 4 [Source:RGD Symbol;Acc:1563686]	1.309009097	0.981285195	120	89
ENSRNOG00000004889	ENSRNOT00000006849	ENSRNOP00000006849	VANGL2	Vangl2	VANGL planar cell polarity protein 2 [Source:RGD Symbol;Acc:1309442]	1.214277723	0.981292462	439	351
